embedding_row,sample_id,duplicate_group_id,month
79,R002933,G003209,2021-08
80,R002934,G002632,2021-08
81,R002935,G001672,2021-08
82,R002936,G002176,2021-08
83,R002937,G004191,2021-08
84,R002938,G002608,2021-08
85,R002939,G005107,2021-08
86,R002940,G000406,2021-08
87,R002941,G002859,2021-08
88,R002942,G004063,2021-08
89,R002943,G004301,2021-08
90,R002944,G003773,2021-08
91,R002945,G005384,2021-08
92,R002946,G004733,2021-08
93,R002947,G005269,2021-08
94,R002948,G004941,2021-08
95,R002949,G004923,2021-08
96,R002950,G002296,2021-08
97,R002951,G005269,2021-08
98,R002952,G004407,2021-08
99,R002953,G005269,2021-08
100,R002954,G003533,2021-08
101,R002955,G003316,2021-08
102,R002956,G001109,2021-08
103,R002957,G000908,2021-08
104,R002958,G004974,2021-08
105,R002959,G001294,2021-08
106,R002960,G002184,2021-08
107,R002961,G003878,2021-08
108,R002962,G004640,2021-08
109,R002963,G001886,2021-08
110,R002964,G005340,2021-08
111,R002965,G001626,2021-08
112,R002966,G000929,2021-08
113,R002967,G004933,2021-08
114,R002968,G001142,2021-08
115,R002969,G000320,2021-08
116,R002970,G003890,2021-08
117,R002971,G000852,2021-08
118,R002972,G001665,2021-08
119,R002973,G004087,2021-08
120,R002974,G000172,2021-08
121,R002975,G002565,2021-08
122,R002976,G002341,2021-08
123,R002977,G002456,2021-08
124,R002978,G003830,2021-08
125,R002979,G000480,2021-08
126,R002980,G000036,2021-08
127,R002981,G004152,2021-08
128,R002982,G002083,2021-08
129,R002983,G004669,2021-08
130,R002984,G004250,2021-08
131,R002985,G001391,2021-08
132,R002986,G002941,2021-08
133,R002987,G002030,2021-08
134,R002988,G005068,2021-08
135,R002989,G004832,2021-08
136,R002990,G000578,2021-08
137,R002991,G003474,2021-08
138,R002992,G000898,2021-08
139,R002993,G004614,2021-08
140,R002994,G002294,2021-08
141,R002995,G003768,2021-08
142,R002996,G003161,2021-08
143,R002997,G000977,2021-08
144,R002998,G003076,2021-08
145,R002999,G001362,2021-08
146,R003000,G005033,2021-08
147,R003001,G003236,2021-08
148,R003002,G004339,2021-08
149,R003003,G000720,2021-08
150,R003004,G000746,2021-08
151,R003005,G002549,2021-08
152,R003006,G002704,2021-08
153,R003007,G001292,2021-08
154,R003008,G005398,2021-08
155,R003009,G002970,2021-08
156,R003010,G002898,2021-08
157,R003011,G003615,2021-08
158,R003012,G004637,2021-08
159,R003013,G000030,2021-08
160,R003014,G005189,2021-08
161,R003015,G001286,2021-08
162,R003016,G001176,2021-08
163,R003017,G000437,2021-08
164,R003018,G000209,2021-08
165,R003019,G005304,2021-08
166,R003020,G000479,2021-08
167,R003021,G001940,2021-08
168,R003022,G005213,2021-08
169,R003023,G002734,2021-08
170,R003024,G004962,2021-08
171,R003025,G001476,2021-08
172,R003026,G003401,2021-08
173,R003027,G000080,2021-08
174,R003028,G003200,2021-08
175,R003029,G003927,2021-08
176,R003030,G005099,2021-08
177,R003031,G004017,2021-08
178,R003032,G000037,2021-08
179,R003033,G002260,2021-08
180,R003034,G002128,2021-08
181,R003035,G004117,2021-08
182,R003036,G004772,2021-08
183,R003037,G003526,2021-08
184,R003038,G000363,2021-08
185,R003039,G000687,2021-08
186,R003040,G000795,2021-08
187,R003041,G003064,2021-08
188,R003042,G000888,2021-08
189,R003043,G002590,2021-08
190,R003044,G000825,2021-08
191,R003045,G000574,2021-08
192,R003046,G000395,2021-08
193,R003047,G004155,2021-08
194,R003048,G004733,2021-08
195,R003049,G005131,2021-08
196,R003050,G003103,2021-08
197,R003051,G004443,2021-08
198,R003052,G002643,2021-08
199,R003053,G002782,2021-08
200,R003054,G001170,2021-08
201,R003055,G001000,2021-08
202,R003056,G005260,2021-08
203,R003057,G004085,2021-08
204,R003058,G000451,2021-08
205,R003059,G003563,2021-08
206,R003060,G005012,2021-08
207,R003061,G002918,2021-08
208,R003062,G004007,2021-08
209,R003063,G001455,2021-08
210,R003064,G001235,2021-08
211,R003065,G000360,2021-08
212,R003066,G004604,2021-08
213,R003067,G002591,2021-08
214,R003068,G000927,2021-08
215,R003069,G001319,2021-08
216,R003070,G004743,2021-08
217,R003071,G001050,2021-08
218,R003072,G001364,2021-08
219,R003073,G003866,2021-08
220,R003074,G004588,2021-08
221,R003075,G005388,2021-08
222,R003076,G005258,2021-08
223,R003077,G004601,2021-08
224,R003078,G000599,2021-08
225,R003079,G004719,2021-08
226,R003080,G003313,2021-08
227,R003081,G003346,2021-08
228,R003082,G004284,2021-08
229,R003083,G004554,2021-08
230,R003084,G000401,2021-08
231,R003085,G001019,2021-08
232,R003086,G004498,2021-08
233,R003087,G002997,2021-08
234,R003088,G003270,2021-08
235,R003089,G003758,2021-08
236,R003090,G004751,2021-08
237,R003091,G002314,2021-08
238,R003092,G000483,2021-08
239,R003093,G005266,2021-08
240,R003094,G003094,2021-08
241,R003095,G000740,2021-08
242,R003096,G000297,2021-08
243,R003097,G003274,2021-08
244,R003098,G003359,2021-08
245,R003099,G000822,2021-08
246,R003100,G000857,2021-08
247,R003101,G002102,2021-08
248,R003102,G003079,2021-08
249,R003103,G001747,2021-08
250,R003104,G002383,2021-08
251,R003105,G001461,2021-08
252,R003106,G003280,2021-08
253,R003107,G003836,2021-08
254,R003108,G002679,2021-08
255,R003109,G000328,2021-08
256,R003110,G003441,2021-08
257,R003111,G000885,2021-08
258,R003112,G000374,2021-08
259,R003113,G004288,2021-08
260,R003114,G002007,2021-08
261,R003115,G004721,2021-08
262,R003116,G002580,2021-08
263,R003117,G001151,2021-08
264,R003118,G003861,2021-08
265,R003119,G002581,2021-08
266,R003120,G003135,2021-08
267,R003121,G002817,2021-08
268,R003122,G003692,2021-08
269,R003123,G001897,2021-08
270,R003124,G003384,2021-08
271,R003125,G001192,2021-08
272,R003126,G003718,2021-08
273,R003127,G003513,2021-08
274,R003128,G002460,2021-08
275,R003129,G004094,2021-08
276,R003130,G000174,2021-08
277,R003131,G001935,2021-08
278,R003132,G001727,2021-08
279,R003133,G004627,2021-08
280,R003134,G003084,2021-08
281,R003135,G005090,2021-08
282,R003136,G002074,2021-08
283,R003137,G004480,2021-08
284,R003138,G002429,2021-08
285,R003139,G002838,2021-08
286,R003140,G000995,2021-08
287,R003141,G004850,2021-08
288,R003142,G001965,2021-08
289,R003143,G001506,2021-08
290,R003144,G004934,2021-08
291,R003145,G002852,2021-08
292,R003146,G000224,2021-08
293,R003147,G002370,2021-08
294,R003148,G002988,2021-08
295,R003149,G002717,2021-08
296,R003150,G000709,2021-08
297,R003151,G000867,2021-08
298,R003152,G005397,2021-08
299,R003153,G004417,2021-08
300,R003154,G002470,2021-08
301,R003155,G001382,2021-08
302,R003156,G000785,2021-08
303,R003157,G000323,2021-08
304,R003158,G002856,2021-08
305,R003159,G003634,2021-08
306,R003160,G004903,2021-08
307,R003161,G002020,2021-08
308,R003162,G001217,2021-08
309,R003163,G000329,2021-08
310,R003164,G003333,2021-08
311,R003165,G003206,2021-08
312,R003166,G001529,2021-08
313,R003167,G003141,2021-08
314,R003168,G000258,2021-08
315,R003169,G001033,2021-08
316,R003170,G002399,2021-08
317,R003171,G002032,2021-08
318,R003172,G002690,2021-08
319,R003173,G002162,2021-08
320,R003174,G000959,2021-08
321,R003175,G002738,2021-08
322,R003176,G004180,2021-08
323,R003177,G000884,2021-08
324,R003178,G001429,2021-08
325,R003179,G001230,2021-08
326,R003180,G004912,2021-08
327,R003181,G000832,2021-08
328,R003182,G002779,2021-08
329,R003183,G001233,2021-08
330,R003184,G002257,2021-08
331,R003185,G002491,2021-08
332,R003186,G001853,2021-08
333,R003187,G005350,2021-08
334,R003188,G004040,2021-08
335,R003189,G002238,2021-08
336,R003190,G001129,2021-08
337,R003191,G005325,2021-08
338,R003192,G005135,2021-08
339,R003193,G002283,2021-08
340,R003194,G002525,2021-08
341,R003195,G004084,2021-08
342,R003196,G003733,2021-08
343,R003197,G000542,2021-08
344,R003198,G002033,2021-08
345,R003199,G003110,2021-08
346,R003200,G001724,2021-08
347,R003201,G000719,2021-08
348,R003202,G001073,2021-08
349,R003203,G005010,2021-08
350,R003204,G003523,2021-08
351,R003205,G003411,2021-08
352,R003206,G000983,2021-08
353,R003207,G002839,2021-08
354,R003208,G002792,2021-08
355,R003209,G003840,2021-08
356,R003210,G002263,2021-08
357,R003211,G002944,2021-08
358,R003212,G003685,2021-08
359,R003213,G002568,2021-08
360,R003214,G002062,2021-08
361,R003215,G001865,2021-08
362,R003216,G003600,2021-08
363,R003217,G003049,2021-08
364,R003218,G000524,2021-08
365,R003219,G004992,2021-08
366,R003220,G005220,2021-08
367,R003221,G000054,2021-08
368,R003222,G002221,2021-08
369,R003223,G001181,2021-08
370,R003224,G000200,2021-08
371,R003225,G003815,2021-08
372,R003226,G004769,2021-08
373,R003227,G001963,2021-08
374,R003228,G002756,2021-08
375,R003229,G002583,2021-08
376,R003230,G001603,2021-08
377,R003231,G004870,2021-08
378,R003232,G002092,2021-08
379,R003233,G002103,2021-08
380,R003234,G000389,2021-08
381,R003235,G002603,2021-08
382,R003236,G005216,2021-08
383,R003237,G002758,2021-08
384,R003238,G001600,2021-08
385,R003239,G003350,2021-08
386,R003240,G001901,2021-08
387,R003241,G000061,2021-08
388,R003242,G001787,2021-08
389,R003243,G004642,2021-08
390,R003244,G002080,2021-08
391,R003245,G001209,2021-08
392,R003246,G002295,2021-08
393,R003247,G001099,2021-08
394,R003248,G004065,2021-08
395,R003249,G002653,2021-08
396,R003250,G001624,2021-08
397,R003251,G001974,2021-08
398,R003252,G004036,2021-08
399,R003253,G004335,2021-08
400,R003254,G002968,2021-08
401,R003255,G003022,2021-08
402,R003256,G000625,2021-08
403,R003257,G003868,2021-08
404,R003258,G000921,2021-08
405,R003259,G001068,2021-08
406,R003260,G003031,2021-08
407,R003261,G000284,2021-08
408,R003262,G003688,2021-08
409,R003263,G002850,2021-08
410,R003264,G004258,2021-08
411,R003265,G005049,2021-08
412,R003266,G004936,2021-08
413,R003267,G002447,2021-08
414,R003268,G005142,2021-08
415,R003269,G001403,2021-08
416,R003270,G003993,2021-08
417,R003271,G001236,2021-08
418,R003272,G003226,2021-08
419,R003273,G000798,2021-08
420,R003274,G001134,2021-08
421,R003275,G004266,2021-08
422,R003276,G003992,2021-08
423,R003277,G000935,2021-08
424,R003278,G000810,2021-08
425,R003279,G000222,2021-08
426,R003280,G000714,2021-08
427,R003281,G003134,2021-08
428,R003282,G000060,2021-08
429,R003283,G000216,2021-08
430,R003284,G000507,2021-08
431,R003285,G000232,2021-08
432,R003286,G005013,2021-08
433,R003287,G002726,2021-08
434,R003288,G002045,2021-08
435,R003289,G004982,2021-08
436,R003290,G000005,2021-08
437,R003291,G004685,2021-08
438,R003292,G001348,2021-08
439,R003293,G001923,2021-08
440,R003294,G001106,2021-08
441,R003295,G000023,2021-08
442,R003296,G002826,2021-08
443,R003297,G001539,2021-08
444,R003298,G003356,2021-08
445,R003299,G002149,2021-08
446,R003300,G004983,2021-08
447,R003301,G003170,2021-08
448,R003302,G003249,2021-08
449,R003303,G000790,2021-08
450,R003304,G004373,2021-08
451,R003305,G002960,2021-08
452,R003306,G002318,2021-08
453,R003307,G001075,2021-08
454,R003308,G003325,2021-08
455,R003309,G004043,2021-08
456,R003310,G003574,2021-08
457,R003311,G004635,2021-08
458,R003312,G000826,2021-08
459,R003313,G001808,2021-08
460,R003314,G002671,2021-08
461,R003315,G001184,2021-08
462,R003316,G002335,2021-08
463,R003317,G001540,2021-08
464,R003318,G001557,2021-08
465,R003319,G005311,2021-08
466,R003320,G004695,2021-08
467,R003321,G004501,2021-08
468,R003322,G003196,2021-08
469,R003323,G004331,2021-08
470,R003324,G005175,2021-08
471,R003325,G001860,2021-08
472,R003326,G003184,2021-08
473,R003327,G001910,2021-08
474,R003328,G002593,2021-08
475,R003329,G004822,2021-08
476,R003330,G002111,2021-08
477,R003331,G003338,2021-08
478,R003332,G004605,2021-08
479,R003333,G001482,2021-08
480,R003334,G003871,2021-08
481,R003335,G003752,2021-08
482,R003336,G004077,2021-08
483,R003337,G000641,2021-08
484,R003338,G000878,2021-08
485,R003339,G003986,2021-08
486,R003340,G002118,2021-08
487,R003341,G001699,2021-08
488,R003342,G003105,2021-08
489,R003343,G003454,2021-08
490,R003344,G003181,2021-08
491,R003345,G001491,2021-08
492,R003346,G000813,2021-08
493,R003347,G001933,2021-08
494,R003348,G000710,2021-08
495,R003349,G002246,2021-08
496,R003350,G005128,2021-08
497,R003351,G004514,2021-08
498,R003352,G003063,2021-08
499,R003353,G002095,2021-08
500,R003354,G001061,2021-08
501,R003355,G001919,2021-08
502,R003356,G001679,2021-08
503,R003357,G001664,2021-08
504,R003358,G002437,2021-08
505,R003359,G004986,2021-08
506,R003360,G003302,2021-08
507,R003361,G001570,2021-08
508,R003362,G003940,2021-08
509,R003363,G001262,2021-08
510,R003364,G000059,2021-08
511,R003365,G001043,2021-08
512,R003366,G002252,2021-08
513,R003367,G003814,2021-08
514,R003368,G000266,2021-08
515,R003369,G000067,2021-08
516,R003370,G003778,2021-08
517,R003371,G004198,2021-08
518,R003372,G004892,2021-08
519,R003373,G001833,2021-08
520,R003374,G000308,2021-08
521,R003375,G005184,2021-08
522,R003376,G002788,2021-08
523,R003377,G001103,2021-08
524,R003378,G004546,2021-08
525,R003379,G004450,2021-08
526,R003380,G003150,2021-08
527,R003381,G004568,2021-08
528,R003382,G004970,2021-08
529,R003383,G005292,2021-08
530,R003384,G005085,2021-08
531,R003385,G004075,2021-08
532,R003386,G001743,2021-08
533,R003387,G003497,2021-08
534,R003388,G000693,2021-08
535,R003389,G004192,2021-08
536,R003390,G000789,2021-08
537,R003391,G001514,2021-08
538,R003392,G002281,2021-08
539,R003393,G000069,2021-08
540,R003394,G001117,2021-08
541,R003395,G001524,2021-08
542,R003396,G004234,2021-08
543,R003397,G000775,2021-08
544,R003398,G001388,2021-08
545,R003399,G001010,2021-08
546,R003400,G001580,2021-08
547,R003401,G001841,2021-08
548,R003402,G000219,2021-08
549,R003403,G003486,2021-08
550,R003404,G002588,2021-08
551,R003405,G002021,2021-08
552,R003406,G003345,2021-08
553,R003407,G005255,2021-08
554,R003408,G003997,2021-08
555,R003409,G001462,2021-08
556,R003410,G002913,2021-08
557,R003411,G002623,2021-08
558,R003412,G002618,2021-08
559,R003413,G003007,2021-08
560,R003414,G000544,2021-08
561,R003415,G004697,2021-08
562,R003416,G001517,2021-08
563,R003417,G003439,2021-08
564,R003418,G003449,2021-08
565,R003419,G002390,2021-08
566,R003420,G003055,2021-08
567,R003421,G003946,2021-08
568,R003422,G002774,2021-08
569,R003423,G001320,2021-08
570,R003424,G000002,2021-08
571,R003425,G000267,2021-08
572,R003426,G003312,2021-08
573,R003427,G001358,2021-08
574,R003428,G002338,2021-08
575,R003429,G002808,2021-08
576,R003430,G002158,2021-08
577,R003431,G005282,2021-08
578,R003432,G005233,2021-08
579,R003433,G001253,2021-08
580,R003434,G004619,2021-08
581,R003435,G003453,2021-08
582,R003436,G005289,2021-08
583,R003437,G005215,2021-08
584,R003438,G002828,2021-08
585,R003439,G003869,2021-08
586,R003440,G004846,2021-08
587,R003441,G001180,2021-08
588,R003442,G001095,2021-08
589,R003443,G001238,2021-08
590,R003444,G004134,2021-08
591,R003445,G004855,2021-08
592,R003446,G000333,2021-08
593,R003447,G002247,2021-08
594,R003448,G001715,2021-08
595,R003449,G000651,2021-08
596,R003450,G004099,2021-08
597,R003451,G003456,2021-08
598,R003452,G005370,2021-08
599,R003453,G001261,2021-08
600,R003454,G003970,2021-08
601,R003455,G002110,2021-08
602,R003456,G003930,2021-08
603,R003457,G000638,2021-08
604,R003458,G001990,2021-08
605,R003459,G002196,2021-08
606,R003460,G000415,2021-08
607,R003461,G002235,2021-08
608,R003462,G001729,2021-08
609,R003463,G003398,2021-08
610,R003464,G005248,2021-08
611,R003465,G004386,2021-08
612,R003466,G002059,2021-08
613,R003467,G000490,2021-08
614,R003468,G003482,2021-08
615,R003469,G003171,2021-08
616,R003470,G005050,2021-08
617,R003471,G000575,2021-08
618,R003472,G004544,2021-08
619,R003473,G004068,2021-08
620,R003474,G004362,2021-08
621,R003475,G001267,2021-08
622,R003476,G004260,2021-08
623,R003477,G003257,2021-08
624,R003478,G004423,2021-08
625,R003479,G000226,2021-08
626,R003480,G000742,2021-08
627,R003481,G003649,2021-08
628,R003482,G000315,2021-08
629,R003483,G000582,2021-08
630,R003484,G001510,2021-08
631,R003485,G000043,2021-08
632,R003486,G003348,2021-08
633,R003487,G001889,2021-08
634,R003488,G003620,2021-08
635,R003489,G004511,2021-08
636,R003490,G004324,2021-08
637,R003491,G000930,2021-08
638,R003492,G002496,2021-08
639,R003493,G003839,2021-08
640,R003494,G000871,2021-08
641,R003495,G004623,2021-08
642,R003496,G002439,2021-08
643,R003497,G000164,2021-08
644,R003498,G001189,2021-08
645,R003499,G003886,2021-08
646,R003500,G004534,2021-08
647,R003501,G001632,2021-08
648,R003502,G000598,2021-08
649,R003503,G001059,2021-08
650,R003504,G003194,2021-08
651,R003505,G000319,2021-08
652,R003506,G003026,2021-08
653,R003507,G001162,2021-08
654,R003508,G003109,2021-08
655,R003509,G002516,2021-08
656,R003510,G002100,2021-08
657,R003511,G002352,2021-08
658,R003512,G005069,2021-08
659,R003513,G000085,2021-08
660,R003514,G000836,2021-08
661,R003515,G001532,2021-08
662,R003516,G000967,2021-08
663,R003517,G003820,2021-08
664,R003518,G001334,2021-08
665,R003519,G001945,2021-08
666,R003520,G000528,2021-08
667,R003521,G000864,2021-08
668,R003522,G001205,2021-08
669,R003523,G005389,2021-08
670,R003524,G002506,2021-08
671,R003525,G003465,2021-08
672,R003526,G001469,2021-08
673,R003527,G003549,2021-08
674,R003528,G001433,2021-08
675,R003529,G002761,2021-08
676,R003530,G002489,2021-08
677,R003531,G001105,2021-08
678,R003532,G000499,2021-08
679,R003533,G000143,2021-08
680,R003534,G003152,2021-08
681,R003535,G003637,2021-08
682,R003536,G003119,2021-08
683,R003537,G004965,2021-08
684,R003538,G004149,2021-08
685,R003539,G004444,2021-08
686,R003540,G001805,2021-08
687,R003541,G001704,2021-08
688,R003542,G003975,2021-08
689,R003543,G002857,2021-08
690,R003544,G002680,2021-08
691,R003545,G005367,2021-08
692,R003546,G003155,2021-08
693,R003547,G005116,2021-08
694,R003548,G000155,2021-08
695,R003549,G001067,2021-08
696,R003550,G000896,2021-08
697,R003551,G000556,2021-08
698,R003552,G004543,2021-08
699,R003553,G003016,2021-08
700,R003554,G000106,2021-08
701,R003555,G000435,2021-08
702,R003556,G000655,2021-08
703,R003557,G005363,2021-08
704,R003558,G003163,2021-08
705,R003559,G001177,2021-08
706,R003560,G001605,2021-08
707,R003561,G001734,2021-08
708,R003562,G002906,2021-08
709,R003563,G000830,2021-08
710,R003564,G001785,2021-08
711,R003565,G003228,2021-08
712,R003566,G000960,2021-08
713,R003567,G003230,2021-08
714,R003568,G003925,2021-08
715,R003569,G005295,2021-08
716,R003570,G000170,2021-08
717,R003571,G004475,2021-08
718,R003572,G003546,2021-08
719,R003573,G000455,2021-08
720,R003574,G002646,2021-08
721,R003575,G000081,2021-08
722,R003576,G000383,2021-08
723,R003577,G001280,2021-08
724,R003578,G002835,2021-08
725,R003579,G004718,2021-08
726,R003580,G004524,2021-08
727,R003581,G004413,2021-08
728,R003582,G001122,2021-08
729,R003583,G004542,2021-08
730,R003584,G001263,2021-08
731,R003585,G005208,2021-08
732,R003586,G003374,2021-08
733,R003587,G002888,2021-08
734,R003588,G000191,2021-08
735,R003589,G001799,2021-08
736,R003590,G002311,2021-08
737,R003591,G003337,2021-08
738,R003592,G003390,2021-08
739,R003593,G000126,2021-08
740,R003594,G001547,2021-08
741,R003595,G002991,2021-08
742,R003596,G002385,2021-08
743,R003597,G002685,2021-08
744,R003598,G002094,2021-08
745,R003599,G003353,2021-08
746,R003600,G002578,2021-08
747,R003601,G002442,2021-08
748,R003602,G000579,2021-08
749,R003603,G000514,2021-08
750,R003604,G000205,2021-08
751,R003605,G001875,2021-08
752,R003606,G004354,2021-08
753,R003607,G004445,2021-08
754,R003608,G000841,2021-08
755,R003609,G002414,2021-08
756,R003610,G002151,2021-08
757,R003611,G002120,2021-08
758,R003612,G002961,2021-08
759,R003613,G004447,2021-08
760,R003614,G002610,2021-08
761,R003615,G000815,2021-08
762,R003616,G000022,2021-08
763,R003617,G001951,2021-08
764,R003618,G000038,2021-08
765,R003619,G003705,2021-08
766,R003620,G004273,2021-08
767,R003621,G002797,2021-08
768,R003622,G004013,2021-08
769,R003623,G002972,2021-08
770,R003624,G001298,2021-08
771,R003625,G001367,2021-08
772,R003626,G004295,2021-08
773,R003627,G005081,2021-08
774,R003628,G004263,2021-08
775,R003629,G002377,2021-08
776,R003630,G003034,2021-08
777,R003631,G002943,2021-08
778,R003632,G003894,2021-08
779,R003633,G004812,2021-08
780,R003634,G001582,2021-08
781,R003635,G002403,2021-08
782,R003636,G002806,2021-08
783,R003637,G002301,2021-08
784,R003638,G000357,2021-08
785,R003639,G001613,2021-08
786,R003640,G001194,2021-08
787,R003641,G001970,2021-08
788,R003642,G000589,2021-08
789,R003643,G003994,2021-08
790,R003644,G002040,2021-08
791,R003645,G002245,2021-08
792,R003646,G001644,2021-08
793,R003647,G002379,2021-08
794,R003648,G004679,2021-08
795,R003649,G000356,2021-08
796,R003650,G004066,2021-08
797,R003651,G002836,2021-08
798,R003652,G003476,2021-08
799,R003653,G003899,2021-08
800,R003654,G001266,2021-08
801,R003655,G001887,2021-08
802,R003656,G002625,2021-08
803,R003657,G000924,2021-08
804,R003658,G004014,2021-08
805,R003659,G004814,2021-08
806,R003660,G002786,2021-08
807,R003661,G003864,2021-08
808,R003662,G005330,2021-08
809,R003663,G000072,2021-08
810,R003664,G004500,2021-08
811,R003665,G000370,2021-08
812,R003666,G001558,2021-08
813,R003667,G005294,2021-08
814,R003668,G000416,2021-08
815,R003669,G004046,2021-08
816,R003670,G002123,2021-08
817,R003671,G002473,2021-08
818,R003672,G001344,2021-08
819,R003673,G000166,2021-08
820,R003674,G004972,2021-08
821,R003675,G001878,2021-08
822,R003676,G002450,2021-08
823,R003677,G000675,2021-08
824,R003678,G000107,2021-08
825,R003679,G000070,2021-08
826,R003680,G004644,2021-08
827,R003681,G001474,2021-08
828,R003682,G003853,2021-08
829,R003683,G001159,2021-08
830,R003684,G004336,2021-08
831,R003685,G002851,2021-08
832,R003686,G004705,2021-08
833,R003687,G004914,2021-08
834,R003688,G001083,2021-08
835,R003689,G000791,2021-08
836,R003690,G003329,2021-08
837,R003691,G003719,2021-08
838,R003692,G003266,2021-08
839,R003693,G004966,2021-08
840,R003694,G000652,2021-08
841,R003695,G003902,2021-08
842,R003696,G001908,2021-08
843,R003697,G003760,2021-08
844,R003698,G004361,2021-08
845,R003699,G004476,2021-08
846,R003700,G000484,2021-08
847,R003701,G000622,2021-08
848,R003702,G001905,2021-08
849,R003703,G003919,2021-08
850,R003704,G001057,2021-08
851,R003705,G005106,2021-08
852,R003706,G000190,2021-08
853,R003707,G000509,2021-08
854,R003708,G000964,2021-08
855,R003709,G004938,2021-08
856,R003710,G004115,2021-08
857,R003711,G003671,2021-08
858,R003712,G005127,2021-08
859,R003713,G003618,2021-08
860,R003714,G003859,2021-08
861,R003715,G000370,2021-08
862,R003716,G002847,2021-08
863,R003717,G003589,2021-08
864,R003718,G003942,2021-08
865,R003719,G001534,2021-08
866,R003720,G000997,2021-08
867,R003721,G002962,2021-08
868,R003722,G004391,2021-08
869,R003723,G004387,2021-08
870,R003724,G005097,2021-08
871,R003725,G002612,2021-08
872,R003726,G002307,2021-08
873,R003727,G002718,2021-08
874,R003728,G001458,2021-08
875,R003729,G004573,2021-08
876,R003730,G001896,2021-08
877,R003731,G005326,2021-08
878,R003732,G001652,2021-08
879,R003733,G001146,2021-08
880,R003734,G002467,2021-08
881,R003735,G000052,2021-08
882,R003736,G003041,2021-08
883,R003737,G000367,2021-08
884,R003738,G003368,2021-08
885,R003739,G003202,2021-08
886,R003740,G004630,2021-08
887,R003741,G004955,2021-08
888,R003742,G001794,2021-08
889,R003743,G005192,2021-08
890,R003744,G001450,2021-08
891,R003745,G003540,2021-08
892,R003746,G004064,2021-08
893,R003747,G003191,2021-08
894,R003748,G003951,2021-08
895,R003749,G001926,2021-08
896,R003750,G000368,2021-08
897,R003751,G000103,2021-08
898,R003752,G003622,2021-08
899,R003753,G000702,2021-08
900,R003754,G002673,2021-08
901,R003755,G002298,2021-08
902,R003756,G004636,2021-08
903,R003757,G003017,2021-08
904,R003758,G004424,2021-08
905,R003759,G002096,2021-08
906,R003760,G002275,2021-08
907,R003761,G005348,2021-08
908,R003762,G005210,2021-08
909,R003763,G003310,2021-08
910,R003764,G004239,2021-08
911,R003765,G004631,2021-08
912,R003766,G003805,2021-08
913,R003767,G000213,2021-08
914,R003768,G001749,2021-08
915,R003769,G005323,2021-08
916,R003770,G003136,2021-08
917,R003771,G004165,2021-08
918,R003772,G003213,2021-08
919,R003773,G003139,2021-08
920,R003774,G002827,2021-08
921,R003775,G004098,2021-08
922,R003776,G001426,2021-08
923,R003777,G001814,2021-08
924,R003778,G000176,2021-08
925,R003779,G000310,2021-08
926,R003780,G001952,2021-08
927,R003781,G000087,2021-08
928,R003782,G003408,2021-08
929,R003783,G003936,2021-08
